Country,ISO- Alpha3 Code,M49 Code,NSS,Defence Doc,NATO,UNSD Regions,Freedom House 2024,ODA 2024,ODA Recipient Status 2024,Crowards State Size (act. and est.),World Bank Small State Forum Members 2024,AU,AU Year Joined,AU Year Left,AUKUS,AUKUS Year Joined,ANZUS,ANZUS Year Joined,ANZUS Year left,ASEAN,ASEAN Year Joined,ASEAN Year Left,CIS,CIS Year Joined,CIS Year Left,CSTO,CSTO Year Joined,CSTO Year Left,DCAF,DCAF Year Joined,DCAF Year Left,EU,EU Year Joined,EU Year Left,NATO,NATO Year Joined (Most Recent Position),NATO PFP,NATO PFP Year Joined,OAS,OAS Year Joined,OAS Year Left,OSCE,OSCE Year Joined,OSCE Year Left,SCO,SCO Year Joined,UFM,UFM Year Joined,BRICS,BRICS Year Joined
Albania,ALB,8,Y,Y,M,Southern Europe,Partly Free,ODA,UMIC,Small,N,,,,,,,,,,,,,,,,,,,,,,,,M,2009,,,,,,PC,1991,,,,M,2008,,
Angola,AGO,24,Y,Y,non-NATO,Middle Africa,Not Free,ODA,LDC,Medium-Small,N,M,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barb.,ATG,28,Y,N,non-NATO,Caribbean,Free,non-ODA,N/A,Micro,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,32,N,Y,non-NATO,South America,Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,M,2024,,,
Armenia,ARM,51,Y,Y,non-NATO,Western Asia,Partly Free,ODA,UMIC,Small,N,,,,,,,,,,,,M,1994,,M,1994,,M,2002,,,,,IPAP,2005,M,1994,,,,PC,1992,,DP,2016,,,,
Aruba,ABW,533,Y,N,non-NATO,Caribbean,N/A,non-ODA,N/A,Micro,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,36,Y,Y,non-NATO,Australia and New Zealand,Free,non-ODA,N/A,Large (est.),N,,,,M,2021,M,1952,,,,,,,,,,,,,,,,,GP,2012,,,,,,PFC,2009,,,,,,,
Austria,AUT,40,Y,Y,non-NATO,Western Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2000,,M,1995,,PFP,1995,M,1995,,,,PC,1973,,,,M,2008,,
Azerbaijan,AZE,31,Y,N,non-NATO,Western Asia,Not Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,M,1993,,Former member,1994,1999,,,,,,,IPAP,2005,M,1994,,,,PC,1992,,DP,2016,,,,
Belarus,BLR,112,N,Y,non-NATO,Eastern Europe,Not Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,M,1994,,M,1994,,M,2002,,,,,PFP,1995,M,1995,,,,PC,1992,,OB,2015,,,,
Belgium,BEL,56,Y,Y,M,Western Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2004,,M,1958,,M,1949,,,,,,PC,1973,,,,M,2008,,
Belize,BLZ,84,Y,N,non-NATO,Central America,Free,ODA,UMIC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1991,,,,,,,,,,
Bermuda,BMU,60,Y,N,non-NATO,Northern America,N/A,non-ODA,N/A,Micro,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,68,N,Y,non-NATO,South America,Partly Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Bosnia and Herz.,BIH,70,N,Y,non-NATO,Southern Europe,Partly Free,ODA,UMIC,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2001,,,,,MAP,2018,M,2006,,,,PC,1992,,,,M,2008,,
Brazil,BRA,76,N,Y,non-NATO,South America,Free,ODA,UMIC,Very Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,M,2009,,M,
Brunei,BRN,96,N,Y,non-NATO,South-eastern Asia,Not Free,non-ODA,N/A,Micro,Y,,,,,,,,,M,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,100,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2000,,M,2007,,M,2004,,,,,,PC,1973,,,,M,2008,,
Burkina Faso,BFA,854,Y,N,non-NATO,Western Africa,Not Free,ODA,LDC,Medium-Small,N,M,1963,2015&2022,,,,,,,,,,,,,,,M,2009,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM,116,N,Y,non-NATO,South-eastern Asia,Not Free,ODA,LDC,Medium-Small,N,,,,,,,,,M,1999,,,,,,,,,,,,,,,,,,,,,,,,DP,2015,,,,
Canada,CAN,124,Y,Y,M,Northern America,Free,non-ODA,N/A,Large (est.),N,,,,,,,,,,,,,,,,,,M,2003,,,,,M,1949,,,M,1990,,PC,1973,,,,,,,
Central African Rep.,CAF,140,Y,Y,non-NATO,Middle Africa,Not Free,ODA,LDC,Medium-Small,N,M,1963&2016,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,152,N,Y,non-NATO,South America,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
China,CHN,156,N,Y,non-NATO,Eastern Asia,Not Free,ODA,UMIC,Very Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1996,,M,M,
Colombia,COL,170,N,Y,non-NATO,South America,Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,M,2021,,,,,GP,2017,,,M,1948,,,,,,,,,,
Norfolk Island,COK,184,Y,N,non-NATO,Polynesia,N/A,non-ODA,N/A,Micro,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,188,Y,N,non-NATO,Central America,Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Croatia,HRV,191,Y,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,M,2013,,M,2009,,,,,,PC,1992,,,,M,2008,,
Czechia,CZE,203,Y,Y,NATO,Eastern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,1999,,,,,,PC,1993,,,,M,2008,,
Denmark,DNK,208,Y,Y,M,Western Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,,,,M,1973,,M,1949,,,,,,PC,1973,,,,M,2008,,
Dominica,DOM,214,N,Y,non-NATO,Caribbean,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Ecuador,ECU,218,Y,Y,non-NATO,South America,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Egypt,EGY,818,Y,Y,non-NATO,Northern Africa,Not Free,ODA,LMIC,Medium-Large,N,M,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,
El Salvador,SLV,222,N,Y,non-NATO,Central America,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Estonia,EST,233,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Small,Y,,,,,,,,,,,,,,,,,,,,,M,2004,,M,2004,,,,,,PC,1991,,,,M,2008,,
Ethiopia,ETH,231,Y,N,non-NATO,Eastern Africa,Not Free,ODA,LDC,Medium-Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,
Fiji,FJI,242,Y,Y,non-NATO,Melanesia,Partly Free,ODA,UMIC,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,246,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,M,2000,,M,1995,,M,2023,,,,,,PC,1973,,,,M,2008,,
France,FRA,250,Y,Y,M,Western Europe,Free,non-ODA,N/A,Large (est.),N,,,,,,,,,,,,,,,,,,M,2000,,M,1958,,M,1949,,,,,,PC,1973,,,,M,2008,,
French Guiana,GUF,254,Y,N,non-NATO,Caribbean,N/A,non-ODA,N/A,Micro,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gambia,GMB,270,Y,N,non-NATO,Western Africa,Partly Free,ODA,LDC,Small,Y,M,1965,,,,,,,,,,,,,,,,M,2023,,,,,,,,,,,,,,,,,,,,
Georgia,GEO,268,Y,Y,non-NATO,Western Asia,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,Former member,1994,2008,Former member,1994,1999,M,2001,,,,,IPAP,2004,M,1994,,,,PC,1992,,,,,,,
Germany,DEU,276,Y,Y,M,Western Europe,Free,non-ODA,N/A,Large (est.),N,,,,,,,,,,,,,,,,,,M,2000,,M,1958,,M,1955,,,,,,PC,1973,,,,M,2008,,
Ghana,GHA,288,Y,N,non-NATO,Western Africa,Free,ODA,LMIC,Medium-Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,300,N,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,,,,M,1981,,M,1952,,,,,,PC,1973,,,,M,2008,,
Greenland,GRL,304,N,Y,NATO,Northern America,N/A,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,,,,OCT,1973,1985,Y,1949,,,,,,,,,,,,,,
Guatemala,GTM,320,Y,Y,non-NATO,Central America,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Haiti,HTI,322,N,Y,non-NATO,Caribbean,Not Free,ODA,LDC,Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Honduras,HND,340,N,Y,non-NATO,Central America,Partly Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948&2011,2009,,,,,,,,,
Hungary,HUN,348,Y,Y,M,Eastern Europe,Partly Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,1999,,,,,,PC,1973,,,,M,2008,,
Iceland,ISL,352,Y,N,M,Northern Europe,Free,non-ODA,N/A,Micro (est.),N,,,,,,,,,,,,,,,,,,,,,EEA,,,Y,1949,,,,,,Y,1973,,,,,,,
India,IND,356,N,Y,non-NATO,Southern Asia,Partly Free,ODA,LMIC,Very Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,2017,,M,M,
Indonesia,IDN,360,N,Y,non-NATO,South-eastern Asia,Partly Free,ODA,UMIC,Very Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,M,M,
Iraq,IRQ,368,Y,N,non-NATO,Western Asia,Not Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,GP,2011,,,,,,,,,,,,,,
Iran,IRN,364,Y,Y,non-NATO,Southern Asia,Not Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,2016,,M,M,
Ireland,IRL,372,N,Y,non-NATO,Northern Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,,,,M,1973,,,,M,1999,,,,PC,1973,,,,M,2008,,
Israel,ISR,376,N,Y,non-NATO,Western Asia,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFC,1975,,,,M,2008,,
Italy,ITA,380,N,Y,M,Southern Europe,Free,non-ODA,N/A,Large (est.),N,,,,,,,,,,,,,,,,,,M,2001,,M,1958,,M,1949,,,,,,PC,1973,,,,M,2008,,
Jamaica,JAM,388,Y,N,non-NATO,Caribbean,Free,ODA,UMIC,Small,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1969,,,,,,,,,,
Japan,JPN,392,Y,Y,non-NATO,Eastern Asia,Free,non-ODA,N/A,Large (est.),N,,,,,,,,,,,,,,,,,,,,,,,,GP,2013,,,,,,PFC,1992,,,,,,,
Kazakhstan,KAZ,398,Y,N,non-NATO,Central Asia,Not Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,M,,,,,,,,,,,Y,1994,,,,Y,1994,,M,,,,,
Kenya,KEN,404,N,Y,non-NATO,Eastern Africa,Partly Free,ODA,LMIC,Medium-Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan,KGZ,417,Y,N,non-NATO,Central Asia,Not Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,M,1994,,M,1994,,,,,,,,,,M,1994,,,,PC,1992,,M,1996,,,,
Latvia,LVA,428,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,M,2004,,M,2004,,,,,,PC,1991,,,,M,2008,,
Lebanon,LBN,422,N,Y,non-NATO,Western Asia,Partly Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,2008,,
Liberia,LBR,430,Y,Y,non-NATO,Western Africa,Partly Free,ODA,LDC,Small (est.),N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,LTU,440,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,2004,,,,,,PC,1991,,,,M,2008,,
Luxembourg,LUX,442,N,Y,M,Western Europe,Free,non-ODA,N/A,Micro (est.),N,,,,,,,,,,,,,,,,,,M,2003,,M,1958,,M,1949,,,,,,PC,1973,,,,M,2008,,
Malaysia,MYS,458,Y,Y,non-NATO,South-eastern Asia,Partly Free,ODA,UMIC,Medium-Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maldives,MDV,462,Y,N,non-NATO,Southern Asia,Partly Free,ODA,UMIC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DP,2023,,,,
Malta,MLT,470,N,Y,non-NATO,Southern Europe,Free,non-ODA,N/A,Micro,Y,,,,,,,,,,,,,,,,,,M,2008,,M,2004,,PFP,2008,M,1995,,,,PC,1973,,,,M,2008,,
Mexico,MEX,484,Y,Y,non-NATO,Central America,Partly Free,ODA,UMIC,Very Large,N,,,,,,,,,,,,,,,,,,M,2021,,,,,,,,,M,1948,,,,,,,,,,
Moldova,MDA,498,Y,N,non-NATO,Eastern Europe,Partly Free,ODA,UMIC,Small,N,,,,,,,,,,,,Former member,1994,2024,,,,,,,,,,IPAP,2006,M,1994,,,,PC,1992,,,,,,,
Mongolia,MNG,496,Y,Y,non-NATO,Eastern Asia,Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2014,,,,,GP,2012,,,,,,,,,OB,2004,,,,
Montenegro,MNE,499,Y,Y,NATO,Southern Europe,Partly Free,ODA,UMIC,Micro (est.),Y,,,,,,,,,,,,,,,,,,M,2006,,,,,M,2017,,,,,,PC,2006,,,,M,2008,,
Namibia,NAM,516,N,Y,non-NATO,Southern Africa,Free,ODA,UMIC,Medium-Small,Y,M,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,NPL,524,Y,N,non-NATO,Southern Asia ,Partly Free,ODA,LDC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DP,2016,,,,
Netherlands,NLD,528,Y,Y,M,Western Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,,,,M,1958,,M,1949,,,,,,PC,1993,,,,M,2008,,
New Zealand,NZL,554,Y,Y,non-NATO,Australia and New Zealand,Free,non-ODA,N/A,Small (est.),N,,,,,,M,1952&2007,1986,,,,,,,,,,,,,,,,GP,2012,,,,,,,,,,,,,,
Nicaragua,NIC,558,N,Y,non-NATO,Central America,Not Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,2023,,,,,,,,,
Niger,NER,562,Y,N,non-NATO,Western Africa,Partly Free,ODA,LDC,Medium-Small,N,M,1963&2011,2010&2023,,,,,,,,,,,,,,,M,2018,,,,,,,,,,,,,,,,,,,,
Nigeria,NGA,566,Y,N,non-NATO,Western Africa,Partly Free,ODA,LMIC,Medium-Large,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macedonia,MKD,807,N,Y,NATO,Southern Europe,Partly Free,ODA,UMIC,Small,N,,,,,,,,,,,,,,,,,,M,2000,,,,,M,2020,,,,,,PC,1995,,,,M,2008,,
Norway,NOR,578,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,,,,EEA,,,M,1949,,,,,,PC,1973,,,,,,,
Pakistan,PAK,586,Y,N,non-NATO,Southern Asia,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,GP,2004,,,,,,,,,M,2017,,,,
Palau,PLW,585,Y,N,non-NATO,Micronesia,Free,ODA,UMIC,Micro (est.),Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,598,Y,N,non-NATO,Melanesia,Partly Free,ODA,LMIC,Medium-Small,N,,,,,,,,,OB,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay,PRY,600,N,Y,non-NATO,South America,Partly Free,ODA,UMIC,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Peru,PER,604,N,Y,non-NATO,South America,Partly Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Philippines,PHL,608,Y,Y,non-NATO,South-eastern Asia,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,POL,616,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,1999,,,,,,PC,1973,,,,M,2008,,
Portugal,PRT,620,N,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2003,,M,1986,,M,1949,,,,,,PC,1973,,,,M,2008,,
Republic of Korea,KOR,410,N,Y,non-NATO,Eastern Asia,Free,non-ODA,N/A,Medium-Large (est.),N,,,,,,,,,,,,,,,,,,,,,,,,GP,2012,,,,,,PFC,1994,,,,,,,
Romania,ROU,642,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,M,2007,,M,2004,,,,,,PC,1973,,,,M,2008,,
Russia,RUS,643,Y,Y,non-NATO,Eastern Europe,Not Free,non-ODA,N/A,Very Large,N,,,,,,,,,,,,M,1993,,M,1994,,,,,,,,,,M,1994,,,,PC,1973,,M,1996,,M,M,
Rwanda,RWA,646,Y,N,non-NATO,East Africa,Not Free,ODA,LDC,Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,WSM,882,Y,N,non-NATO,Polynesia,Free,ODA,LMIC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,682,Y,Y,non-NATO,Western Asia,Not Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia,SRB,688,Y,Y,non-NATO,Southern Europe,Partly Free,ODA,UMIC,Medium-Small (est.),N,,,,,,,,,,,,,,,OB,2013,,,,,,,,IPAP,2015,M,2006,,,,PC,1973,,,,,,,
Montenegro,SCG,891,N,Y,M,Southern Europe,N/A,non-ODA,n/a,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,694,N,Y,non-NATO,Western Africa,Partly Free,ODA,LDC,Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Singapore,SGP,702,Y,N,non-NATO,South-eastern Asia,Partly Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,SVK,703,Y,Y,M,Eastern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,M,2000,,M,2004,,M,2004,,,,,,PC,1993,,,,M,2008,,
Slovenia,SVN,705,Y,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,M,2004,,M,2004,,,,,,PC,1992,,,,M,2008,,
Solomon Is.,SLB,90,Y,N,non-NATO,Melanesia,Free,ODA,LDC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,ZAF,710,N,Y,non-NATO,Southern Africa,Free,ODA,UMIC,Medium-Large,N,M,1994,,,,,,,,,,,,,,,,M,2001,,,,,,,,,,,,,,,,,,M,M,
Spain,ESP,724,Y,Y,M,Southern Europe,Free,non-ODA,N/A,Medium-Large (est.),N,,,,,,,,,,,,,,,,,,M,2001,,M,1986,,M,1982,,,,,,PC,1973,,,,M,2008,,
St. Kitts and Nevis,KNA,659,Y,N,non-NATO,Caribbean,Free,non-ODA,N/A,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1984,,,,,,,,,,
Sweden,SWE,752,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Medium-Small (est.),N,,,,,,,,,,,,,,,,,,M,2001,,M,1995,,M,2024,,,,,,PC,1973,,,,M,2008,,
Switzerland,CHE,756,N,Y,non-NATO,Western Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,,M,2000,,,,,,,M,1996,,,,PC,1973,,,,,,,
Taiwan,TWN,158,N,Y,non-NATO,Eastern Asia,Free,non-ODA,N/A,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,THA,764,Y,N,non-NATO,South-eastern Asia,Partly Free,ODA,UMIC,Medium-Large,N,,,,,,,,,M,1967,,,,,,,,,,,,,,,,,,,,,PFC,2000,,,,,,,
Timor-Leste,TLS,626,N,Y,non-NATO,South-eastern Asia,Free,ODA,LDC,Micro (est.),Y,,,,,,,,,OB,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,780,Y,N,non-NATO,Caribbean,Free,non-ODA,N/A,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1967,,,,,,,,,,
Turkey,TUR,792,N,Y,M,Western Asia,Not Free,ODA,UMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,,,,,,,M,1952,,,,,,PC,1973,,DP,2012,M,2008,,
Uganda,UGA,800,N,Y,non-NATO,Eastern Africa,Not Free,ODA,LDC,Medium-Small,N,M,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,UKR,804,Y,Y,non-NATO,Eastern Europe,Partly Free,ODA,LMIC,Medium-Large,N,,,,,,,,,,,,,,,,,,M,2000,,,,,ID,2005,M,1994,,,,PC,1992,,,,,,,
United Arab Emirates,ARE,784,Y,N,non-NATO,Western Asia,Not Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,2024,M,
United Kingdom,GBR,826,Y,Y,M,Northern Europe,Free,non-ODA,N/A,Large (est.),N,,,,M,2021,,,,,,,,,,,,,M,2000,,Former member,1973,2020,M,1949,,,,,,PC,1973,,,,,,
United States of America,USA,840,Y,Y,NATO,Northern America,Free,non-ODA,N/A,Very Large (est.),N,,,,M,2021,M,1952,,,,,,,,,,,,,,,,,M,1949,,,M,1948,,PC,1973,,,,,,,
Uruguay,URY,858,N,Y,non-NATO,South America,Free,non-ODA,N/A,Medium-Small,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,M,1948,,,,,,,,,,
Vanuatu,VUT,548,Y,N,non-NATO,Melanesia,Free,ODA,LMIC,Micro,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,VNM,704,N,Y,non-NATO,South-eastern Asia,Not Free,ODA,LMIC,Medium-Large,N,,,,,,,,,M,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,196,N,Y,non-NATO,Southern Europe,Free,non-ODA,N/A,Small (est.),N,,,,,,,,,,,,,,,,,M,2004,,,,,,,,,,,,,,,
Laos,LAO,418,Y,N,non-NATO,South-eastern Asia,Partly Free,ODA,LMIC,Small,N,,,,,,,,,,,,,M,1997,,,,,,,,,,,,,,
Myanmar,MMR,104,Y,N,non-NATO,South-eastern Asia,Not Free,ODA,LMIC,Medium-Large,N,,,,,,,,,,,,,M,1997,,,,,,,,,,,,,,,
Tajikistan,TJK,762,Y,N,non-NATO,Central Asia,Not Free,ODA,LMIC,Medium-Small,N,,,,,,,,,,,,,M,1994,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,M,
Benin,,,,,,,,,,,,M,
Botswana,,,,,,,,,,,,M,
Burundi,,,,,,,,,,,,M,
Cabo Verde,,,,,,,,,,,,M,
Cameroon,,,,,,,,,,,,M,
Chad,,,,,,,,,,,,M,
Comoros,,,,,,,,,,,,M,
Dem. Rep. Congo,,,,,,,,,,,,M,
Djibouti,,,,,,,,,,,,M,
Equatorial Guinea,,,,,,,,,,,,M,
Eritrea,,,,,,,,,,,,M,
Eswatini,,,,,,,,,,,,M,
Gabon,,,,,,,,,,,,M,
Guinea,,,,,,,,,,,,M,
Guinea-Bissau,,,,,,,,,,,,M,
Lesotho,,,,,,,,,,,,M,
Libya,,,,,,,,,,,,M,
Madagascar,,,,,,,,,,,,M,
Malawi,,,,,,,,,,,,M,
Mali,,,,,,,,,,,,M,
Mauritania,,,,,,,,,,,,M,
Mauritius,,,,,,,,,,,,M,
Morocco,,,,,,,,,,,,M,
Mozambique,,,,,,,,,,,,M,
Sao Tome and Principe,,,,,,,,,,,,M,
Senegal,,,,,,,,,,,,M,
Seychelles,,,,,,,,,,,,M,
Somalia,,,,,,,,,,,,M,
S. Sudan,,,,,,,,,,,,M,
Sudan,,,,,,,,,,,,M,
Tanzania,,,,,,,,,,,,M,
Togo,,,,,,,,,,,,M,
Tunisia,,,,,,,,,,,,M,
Zambia,,,,,,,,,,,,M,
Zimbabwe,,,,,,,,,,,,M,
Sahrawi Arab Democratic Republic,,,,,,,,,,,,M,
C̫te d'Ivoire,,,,,,,,,,,,M,
Eq. Guinea,,,,,,,,,,,,M,
Congo,,,,,,,,,,,,M,
